query,response
Where is my order?,Please provide your order ID so we can track it.
How can I return a product?,You can initiate a return from your orders page.
What is your refund policy?,We offer full refunds within 30 days of purchase.
Do you offer international shipping?,"Yes, we ship internationally to most countries."
How do I change my password?,Go to your account settings to change your password.
How long does delivery take?,Delivery typically takes 3-5 business days.
Can I cancel my order?,"Yes, you can cancel orders within 2 hours of placing them."
What payment methods are accepted?,"We accept credit cards, PayPal, and bank transfers."
How do I contact customer support?,"You can reach us via chat, email, or our contact form."
Is there a warranty on products?,"Yes, all products come with a 1-year warranty."
hi,"happy day, how can I help you?"
